ReleaseGroupCode,ReleaseStrategy,RelStrLevel,ReleaseCode,ReleaseCode2,ReleaseCode3
LA,103608,1,105947,,
LA,103608,2,111808,115062,115062
LA,103608,3,105440,,
LA,104019,1,105947,,
LA,104019,2,111808,115062,115062
LA,104019,3,105440,,
