ReleaseGroupCode,ReleaseStrategy,RelStrLevel,ReleaseCode,ReleaseCode2,ReleaseCode3
LA,103608,1,105440,,
LA,103608,2,104019,,
LA,103608,3,104019,,
LA,104019,1,105440,,
LA,104019,1,104019,,
LA,104019,1,104019,,
