ReleaseGroupCode,ReleaseStrategy,RelStrLevel,ReleaseCode,ReleaseCode2,ReleaseCode3
GP,103608,1,105947,111808,
GP,103608,2,111808,,
GP,103608,3,105440,,
LA,104019,1,105947,111808,
LA,104019,2,111808,,
LA,104019,3,105440,,
